repository,pr_title,pr_url,resolution_strategy,linked_issue,detected_at,comments,resolved_at,time_to_merge,time_from_detection_to_resolution,logged_time,time_to_merge_normalized,java_code_changes,comments_normalized,pure_comments
alfresco/alfresco-community-repo,"Revert ""Bump dependency.log4j.version from 2.23.1 to 2.24.2""",https://github.com/Alfresco/alfresco-community-repo/pull/3063,downgrade in own dependencyManagement,,,0,2024-11-28T14:26:55Z,0.827222222,,,-0.352123083,0,-0.250843558,0
alibaba/nacos,"[ISSUE #7698] refactor: remove httpasyncclient version dependency management,  avoid version conflicts",https://github.com/alibaba/nacos/pull/10170,"remove from own dependencyManagement, use dependencyManagement from springboot",,,8,2023-03-31T06:53:21Z,207.6202778,,,0.302420705,0,1.238072146,8
alldatacenter/alldata,修复 #587 问题 版本,https://github.com/alldatacenter/alldata/pull/595,upgrade in own dependencyManagement,https://github.com/alldatacenter/alldata/issues/587,2023-06-14T06:44:29Z,1,2023-06-29T04:24:03Z,21.00527778,357.6594444,,3.44895558,0,3.079974824,1
apache/amoro,"[optimizer]For flinkcontainer optimizer, When making a connection via ams in high availability mode, NoSuchMethodError is encountered",https://github.com/apache/amoro/pull/1612,use shade plugin to relocate zookeeper in uber jar,https://github.com/apache/amoro/issues/1611,2023-06-26T07:21:15Z,4,2023-07-20T01:25:14Z,569.6872222,570.0663889,,1.246491671,2,-0.156762749,3
apache/amoro,[AMORO-2560]Filformat ORC support roll new file for mixed_format,https://github.com/apache/amoro/pull/2561,upgrade in own dependencyManagement,,,4,2024-02-22T11:27:23Z,1.062222222,,,-0.367933523,3,-0.156762749,3
apache/beam,[BEAM-3668] Quick workaround fix for netty conflict waiting better fix by BEAM-3519,https://github.com/apache/beam/pull/4653,exclude the transitive dependencies,https://issues.apache.org/jira/browse/BEAM-3668,2018-02-08T21:18:00Z,2,2018-02-10T17:47:50Z,10.09555556,44.49722222,2h20m,-0.361798224,0,,1
apache/camel-k-runtime,"Revert ""build(deps): bump logstash-logback-encoder from 7.3 to 7.4""",https://github.com/apache/camel-k-runtime/pull/1053,downgrade parent dependency in own dependencyManagement,,,0,2023-06-21T19:04:19Z,1.414722222,,,-0.241672897,0,-0.306124006,0
apache/camel-quarkus,"Fix XSLT extension NoSuchMethodError: TransformerFactory.newInstance(String,ClassLoader)",https://github.com/apache/camel-quarkus/pull/736,exclude the transitive dependency,https://github.com/apache/camel-quarkus/issues/721,2020-02-14T13:28:30Z,0,2020-02-19T13:46:24Z,0.924722222,120.2983333,,-0.135772624,0,-0.378172266,0
apache/dolphinscheduler,[Fix-14512][BOM] kubernetes-client version conflict,https://github.com/apache/dolphinscheduler/pull/14561,replace with another parent dependency,https://github.com/apache/dolphinscheduler/issues/14512,2023-07-12T02:40:31Z,11,2023-07-21T10:17:53Z,140.7008333,223.6227778,,0.107829166,0,,9
apache/doris,[Fix](fe)Upgrade hive-catalog-shade version to 1.0.3,https://github.com/apache/doris/pull/18690,upgrade the parent dependency,,,3,2023-04-15T14:10:46Z,24.39527778,,,-0.287928684,0,,0
